IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.248.220,8443,8443,true,HKG,Asia Pacific,Hong Kong,20,7.72
54.250.254.21,8443,443,true,SIN,Asia Pacific,Singapore,75,3.87
8.219.97.179,8443,8443,true,SIN,Asia Pacific,Singapore,512,2.69
20.90.163.76,8443,443,true,LHR,Europe,London,491,2.51
18.180.193.57,8443,443,true,NRT,Asia Pacific,Tokyo,64,2.35
8.222.187.107,8443,8443,true,SIN,Asia Pacific,Singapore,512,1.99
8.222.190.225,8443,8443,true,SIN,Asia Pacific,Singapore,198,1.88
47.236.121.7,8443,8443,true,SIN,Asia Pacific,Singapore,513,1.81
47.236.116.182,8443,8443,true,SIN,Asia Pacific,Singapore,514,1.77
8.219.72.51,8443,8443,true,SIN,Asia Pacific,Singapore,506,1.74
8.222.146.222,8443,8443,true,SIN,Asia Pacific,Singapore,490,1.74
47.236.121.23,8443,8443,true,SIN,Asia Pacific,Singapore,514,1.70
8.219.213.133,8443,8443,true,SIN,Asia Pacific,Singapore,513,1.54
47.236.166.131,8443,8443,true,SIN,Asia Pacific,Singapore,490,1.54
13.38.53.164,8443,443,true,CDG,Europe,Paris,515,1.49
8.218.127.249,8443,8443,true,HKG,Asia Pacific,Hong Kong,36,1.48
8.219.199.220,8443,8443,true,SIN,Asia Pacific,Singapore,511,1.44
8.222.164.209,8443,8443,true,SIN,Asia Pacific,Singapore,491,1.36
47.236.119.253,8443,8443,true,SIN,Asia Pacific,Singapore,488,1.27
8.219.51.211,8443,8443,true,SIN,Asia Pacific,Singapore,515,1.26
47.236.104.11,8443,8443,true,SIN,Asia Pacific,Singapore,516,1.20
47.236.169.15,8443,8443,true,SIN,Asia Pacific,Singapore,490,1.19
8.222.131.102,8443,8443,true,SIN,Asia Pacific,Singapore,513,1.15
47.236.65.177,8443,8443,true,SIN,Asia Pacific,Singapore,516,1.14
8.219.51.211,8443,8443,true,SIN,Asia Pacific,Singapore,511,1.14
8.222.188.56,8443,8443,true,SIN,Asia Pacific,Singapore,514,1.13
8.219.210.64,8443,8443,true,SIN,Asia Pacific,Singapore,516,1.11
47.236.149.107,8443,8443,true,SIN,Asia Pacific,Singapore,489,1.11
8.222.134.170,8443,8443,true,SIN,Asia Pacific,Singapore,207,1.10
8.219.170.58,8443,8443,true,SIN,Asia Pacific,Singapore,507,1.10
8.219.228.30,8443,8443,true,SIN,Asia Pacific,Singapore,495,1.09
8.219.101.138,8443,8443,true,SIN,Asia Pacific,Singapore,513,1.06
192.9.246.112,8443,443,true,SJC,North America,San Jose,517,1.06
8.219.100.168,8443,8443,true,SIN,Asia Pacific,Singapore,487,1.04
47.236.123.133,8443,8443,true,SIN,Asia Pacific,Singapore,514,1.02
47.236.166.84,8443,8443,true,SIN,Asia Pacific,Singapore,503,1.01
8.222.224.162,8443,8443,true,SIN,Asia Pacific,Singapore,512,1.00
51.107.7.135,8443,443,true,MXP,Europe,Milan,515,0.99
47.236.7.206,8443,8443,true,SIN,Asia Pacific,Singapore,512,0.95
47.236.29.235,8443,8443,true,SIN,Asia Pacific,Singapore,513,0.93
51.107.13.85,8443,443,true,MXP,Europe,Milan,515,0.89
8.219.51.49,8443,8443,true,SIN,Asia Pacific,Singapore,510,0.88
47.236.144.48,8443,8443,true,SIN,Asia Pacific,Singapore,491,0.86
8.219.124.227,8443,8443,true,SIN,Asia Pacific,Singapore,516,0.84
47.236.161.155,8443,8443,true,SIN,Asia Pacific,Singapore,503,0.84
8.222.252.150,8443,8443,true,SIN,Asia Pacific,Singapore,517,0.84
8.222.184.198,8443,8443,true,SIN,Asia Pacific,Singapore,513,0.82
8.222.150.197,8443,8443,true,SIN,Asia Pacific,Singapore,513,0.78
3.121.77.56,8443,443,true,FRA,Europe,Frankfurt,514,0.75
47.236.170.54,8443,8443,true,SIN,Asia Pacific,Singapore,504,0.74
8.222.229.22,8443,8443,true,SIN,Asia Pacific,Singapore,489,0.74
8.222.128.131,8443,8443,true,SIN,Asia Pacific,Singapore,495,0.72
154.17.17.205,8443,443,true,LAX,North America,Los Angeles,166,0.71
8.222.215.228,8443,8443,true,SIN,Asia Pacific,Singapore,505,0.71
8.219.145.245,8443,8443,true,SIN,Asia Pacific,Singapore,514,0.71
47.236.172.95,8443,8443,true,SIN,Asia Pacific,Singapore,488,0.71
8.222.133.247,8443,8443,true,SIN,Asia Pacific,Singapore,504,0.71
47.236.15.73,8443,8443,true,SIN,Asia Pacific,Singapore,501,0.70
8.222.182.10,8443,8443,true,SIN,Asia Pacific,Singapore,504,0.67
47.236.150.109,8443,8443,true,SIN,Asia Pacific,Singapore,512,0.67
8.222.168.234,8443,8443,true,SIN,Asia Pacific,Singapore,511,0.66
8.222.221.197,8443,8443,true,SIN,Asia Pacific,Singapore,488,0.65
47.236.7.13,8443,8443,true,SIN,Asia Pacific,Singapore,514,0.65
47.245.107.174,8443,8443,true,SIN,Asia Pacific,Singapore,506,0.64
8.219.200.145,8443,8443,true,SIN,Asia Pacific,Singapore,514,0.63
8.219.253.18,8443,8443,true,SIN,Asia Pacific,Singapore,509,0.63
8.219.228.186,8443,8443,true,SIN,Asia Pacific,Singapore,514,0.61
47.236.163.221,8443,8443,true,SIN,Asia Pacific,Singapore,491,0.61
8.222.227.191,8443,8443,true,SIN,Asia Pacific,Singapore,516,0.60
8.219.213.84,8443,8443,true,SIN,Asia Pacific,Singapore,512,0.60
8.222.144.219,8443,8443,true,SIN,Asia Pacific,Singapore,513,0.57
8.222.229.102,8443,8443,true,SIN,Asia Pacific,Singapore,489,0.56
8.222.136.247,8443,8443,true,SIN,Asia Pacific,Singapore,513,0.55
8.222.160.176,8443,8443,true,SIN,Asia Pacific,Singapore,207,0.54
8.219.98.13,8443,8443,true,SIN,Asia Pacific,Singapore,515,0.53
8.222.167.147,8443,8443,true,SIN,Asia Pacific,Singapore,511,0.52
20.167.48.9,8443,443,true,SYD,Oceania,Sydney,138,0.48
8.219.245.232,8443,8443,true,SIN,Asia Pacific,Singapore,512,0.48
8.222.145.164,8443,8443,true,SIN,Asia Pacific,Singapore,513,0.45
47.236.23.135,8443,8443,true,SIN,Asia Pacific,Singapore,515,0.45
8.219.253.185,8443,8443,true,SIN,Asia Pacific,Singapore,514,0.45
18.168.254.65,8443,443,true,LHR,Europe,London,515,0.42
8.219.77.222,8443,8443,true,SIN,Asia Pacific,Singapore,503,0.37
47.236.87.246,8443,8443,true,SIN,Asia Pacific,Singapore,516,0.36
47.236.93.176,8443,8443,true,SIN,Asia Pacific,Singapore,505,0.36
8.222.164.209,8443,8443,true,SIN,Asia Pacific,Singapore,496,0.34
47.236.94.113,8443,8443,true,SIN,Asia Pacific,Singapore,510,0.34
47.245.114.163,8443,8443,true,SIN,Asia Pacific,Singapore,512,0.31
4.232.137.169,8443,443,true,MXP,Europe,Milan,507,0.30
154.40.32.15,8443,443,true,LAX,North America,Los Angeles,183,0.27
47.236.83.196,8443,8443,true,SIN,Asia Pacific,Singapore,514,0.26
3.10.169.190,8443,443,true,LHR,Europe,London,513,0.26
40.112.148.202,8443,443,true,SJC,North America,San Jose,512,0.24
91.217.139.227,8443,443,true,LAX,North America,Los Angeles,502,0.23
143.47.243.144,8443,443,true,LHR,Europe,London,503,0.23
8.219.98.13,8443,8443,true,SIN,Asia Pacific,Singapore,513,0.20
140.238.38.245,8443,8443,true,NRT,Asia Pacific,Tokyo,138,0.19
8.222.154.227,8443,8443,true,SIN,Asia Pacific,Singapore,513,0.19
20.162.72.189,8443,443,true,LHR,Europe,London,513,0.18
47.236.176.144,8443,8443,true,SIN,Asia Pacific,Singapore,511,0.17
47.236.82.218,8443,8443,true,SIN,Asia Pacific,Singapore,515,0.17
47.236.163.95,8443,8443,true,SIN,Asia Pacific,Singapore,492,0.12
51.116.127.112,8443,443,true,FRA,Europe,Frankfurt,515,0.12
131.186.58.151,8443,8443,true,NRT,Asia Pacific,Tokyo,140,0.11
141.147.169.195,8443,8443,true,NRT,Asia Pacific,Tokyo,133,0.11
47.236.167.231,8443,8443,true,SIN,Asia Pacific,Singapore,507,0.11
158.101.92.156,8443,8443,true,NRT,Asia Pacific,Tokyo,139,0.11
168.138.47.238,8443,80,false,KIX,Asia Pacific,Osaka,515,0.10
47.236.184.14,8443,8443,true,SIN,Asia Pacific,Singapore,496,0.10
20.174.68.148,8443,443,true,BOM,Asia Pacific,Mumbai,143,0.10
158.101.147.4,8443,8443,true,SIN,Asia Pacific,Singapore,512,0.09
47.236.87.206,8443,8443,true,SIN,Asia Pacific,Singapore,512,0.08
47.236.19.51,8443,8443,true,SIN,Asia Pacific,Singapore,516,0.07
192.210.243.216,8443,443,true,BUF,North America,Buffalo,515,0.07
20.244.84.91,8443,443,true,BOM,Asia Pacific,Mumbai,143,0.06
13.37.240.130,8443,443,true,CDG,Europe,Paris,513,0.06
51.107.3.73,8443,443,true,MXP,Europe,Milan,502,0.06
18.195.219.208,8443,443,true,FRA,Europe,Frankfurt,514,0.05
18.158.156.249,8443,443,true,FRA,Europe,Frankfurt,495,0.05
20.174.36.38,8443,443,true,BOM,Asia Pacific,Mumbai,152,0.05
4.232.161.141,8443,443,true,MRS,Europe,Marseille,496,0.04
107.173.34.130,8443,443,true,SJC,North America,San Jose,171,0.02
141.145.206.16,8443,443,true,CDG,Europe,Paris,495,0.01
8.219.122.96,8443,8443,true,SIN,Asia Pacific,Singapore,512,0.00
