IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
103.137.63.3,443,443,true,LAX,North America,Los Angeles,75,5.17
18.183.158.211,443,443,true,NRT,Asia Pacific,Tokyo,72,3.87
43.153.80.208,443,443,true,SJC,North America,San Jose,165,3.20
43.153.103.203,443,443,true,SJC,North America,San Jose,166,3.08
34.143.241.22,443,443,true,SIN,Asia Pacific,Singapore,91,2.88
34.66.72.229,443,443,true,ORD,North America,Chicago,219,2.26
3.135.201.228,443,443,true,ORD,North America,Chicago,222,2.24
8.219.97.179,443,443,true,SIN,Asia Pacific,Singapore,229,2.22
20.168.54.251,443,443,true,LAX,North America,Los Angeles,214,2.17
104.168.125.192,443,443,true,ORD,North America,Chicago,244,1.96
34.65.201.127,443,443,true,FRA,Europe,Frankfurt,243,1.82
8.222.221.90,443,443,true,SIN,Asia Pacific,Singapore,213,1.80
35.203.182.49,443,443,true,SEA,North America,Seattle,182,1.68
34.154.45.108,443,443,true,CDG,Europe,Paris,238,1.48
34.65.209.104,443,443,true,FRA,Europe,Frankfurt,238,1.41
34.159.11.68,443,443,true,FRA,Europe,Frankfurt,219,1.36
34.154.221.175,443,443,true,FRA,Europe,Frankfurt,225,1.35
34.65.87.138,443,443,true,FRA,Europe,Frankfurt,232,1.34
34.65.38.18,443,443,true,FRA,Europe,Frankfurt,235,1.27
34.159.160.217,443,443,true,FRA,Europe,Frankfurt,208,1.24
52.40.59.31,443,443,true,SEA,North America,Seattle,193,1.14
34.154.107.220,443,443,true,FRA,Europe,Frankfurt,234,1.13
15.236.45.188,443,443,true,CDG,Europe,Paris,236,1.08
34.154.104.51,443,443,true,FRA,Europe,Frankfurt,231,1.07
3.143.106.216,443,443,true,ORD,North America,Chicago,213,1.03
34.116.195.145,443,443,true,FRA,Europe,Frankfurt,252,1.01
34.118.102.243,443,443,true,FRA,Europe,Frankfurt,244,0.99
144.24.175.145,443,443,true,FRA,Europe,Frankfurt,271,0.90
18.142.204.36,443,443,true,SIN,Asia Pacific,Singapore,105,0.89
20.235.105.146,443,443,true,BOM,Asia Pacific,Mumbai,160,0.87
34.159.115.89,443,443,true,FRA,Europe,Frankfurt,230,0.81
34.118.56.2,443,443,true,FRA,Europe,Frankfurt,245,0.81
34.159.206.50,443,443,true,FRA,Europe,Frankfurt,221,0.80
34.141.169.0,443,443,true,FRA,Europe,Frankfurt,215,0.80
34.65.165.196,443,443,true,FRA,Europe,Frankfurt,222,0.79
34.41.252.92,443,443,true,ORD,North America,Chicago,197,0.74
43.154.209.116,443,443,true,HKG,Asia Pacific,Hong Kong,69,0.71
34.89.193.162,443,443,true,AMS,Europe,Amsterdam,232,0.69
35.234.109.216,443,443,true,FRA,Europe,Frankfurt,219,0.65
34.154.97.242,443,443,true,FRA,Europe,Frankfurt,241,0.64
34.116.214.43,443,443,true,FRA,Europe,Frankfurt,259,0.63
20.246.144.214,443,443,true,IAD,North America,Ashburn,242,0.58
34.65.204.120,443,443,true,FRA,Europe,Frankfurt,228,0.57
34.107.54.115,443,443,true,FRA,Europe,Frankfurt,222,0.53
34.118.21.2,443,443,true,FRA,Europe,Frankfurt,240,0.52
34.116.149.54,443,443,true,FRA,Europe,Frankfurt,246,0.51
34.154.229.153,443,443,true,FRA,Europe,Frankfurt,244,0.50
34.118.100.30,443,443,true,FRA,Europe,Frankfurt,248,0.48
35.246.217.244,443,443,true,FRA,Europe,Frankfurt,227,0.45
43.134.110.201,443,443,true,SIN,Asia Pacific,Singapore,215,0.45
34.65.184.228,443,443,true,FRA,Europe,Frankfurt,235,0.44
34.65.238.73,443,443,true,FRA,Europe,Frankfurt,231,0.44
23.94.98.225,443,443,true,SJC,North America,San Jose,187,0.43
34.65.120.16,443,443,true,FRA,Europe,Frankfurt,231,0.43
34.116.141.170,443,443,true,FRA,Europe,Frankfurt,255,0.42
34.32.236.173,443,443,true,FRA,Europe,Frankfurt,247,0.41
35.246.165.79,443,443,true,FRA,Europe,Frankfurt,233,0.41
23.94.25.219,443,443,true,SJC,North America,San Jose,182,0.37
141.144.255.250,443,443,true,FRA,Europe,Frankfurt,270,0.36
52.141.25.42,443,443,true,HKG,Asia Pacific,Hong Kong,125,0.36
34.116.247.197,443,443,true,FRA,Europe,Frankfurt,261,0.36
34.141.26.28,443,443,true,FRA,Europe,Frankfurt,223,0.30
34.116.223.71,443,443,true,FRA,Europe,Frankfurt,247,0.30
34.65.163.137,443,443,true,FRA,Europe,Frankfurt,237,0.29
18.156.209.101,443,443,true,AMS,Europe,Amsterdam,231,0.29
47.236.164.215,443,443,true,SIN,Asia Pacific,Singapore,200,0.28
198.23.254.51,443,443,true,SJC,North America,San Jose,170,0.27
34.154.191.141,443,443,true,FRA,Europe,Frankfurt,231,0.25
47.236.104.98,443,443,true,SIN,Asia Pacific,Singapore,208,0.25
23.94.212.4,443,443,true,SEA,North America,Seattle,205,0.24
34.34.186.205,443,443,true,CDG,Europe,Paris,274,0.22
8.222.204.128,443,443,true,SIN,Asia Pacific,Singapore,221,0.22
34.118.32.6,443,443,true,FRA,Europe,Frankfurt,239,0.21
34.65.123.250,443,443,true,FRA,Europe,Frankfurt,230,0.21
43.163.3.63,443,443,true,SIN,Asia Pacific,Singapore,206,0.21
193.123.57.211,443,443,true,FRA,Europe,Frankfurt,282,0.19
129.146.248.140,443,443,true,LAX,North America,Los Angeles,218,0.19
34.34.24.107,443,443,true,FRA,Europe,Frankfurt,227,0.19
34.90.19.50,443,443,true,FRA,Europe,Frankfurt,239,0.18
35.224.40.99,443,443,true,ORD,North America,Chicago,213,0.18
18.130.168.34,443,443,true,LHR,Europe,London,238,0.18
34.65.20.102,443,443,true,FRA,Europe,Frankfurt,234,0.18
43.156.27.249,443,443,true,SIN,Asia Pacific,Singapore,205,0.17
47.236.121.7,443,443,true,SIN,Asia Pacific,Singapore,228,0.17
34.154.157.56,443,443,true,FRA,Europe,Frankfurt,240,0.17
20.157.221.56,443,443,true,AMS,Europe,Amsterdam,295,0.17
34.116.251.75,443,443,true,FRA,Europe,Frankfurt,237,0.16
45.207.13.157,443,443,true,HKG,Asia Pacific,Hong Kong,33,0.16
34.93.0.149,443,443,true,BOM,Asia Pacific,Mumbai,285,0.15
35.204.154.178,443,443,true,FRA,Europe,Frankfurt,225,0.15
47.236.130.95,443,443,true,SIN,Asia Pacific,Singapore,216,0.14
34.118.101.112,443,443,true,FRA,Europe,Frankfurt,240,0.14
34.116.188.159,443,443,true,FRA,Europe,Frankfurt,243,0.14
34.159.112.17,443,443,true,FRA,Europe,Frankfurt,234,0.13
144.24.184.13,443,443,true,FRA,Europe,Frankfurt,263,0.12
18.184.55.249,443,443,true,FRA,Europe,Frankfurt,215,0.11
34.65.238.78,443,443,true,FRA,Europe,Frankfurt,241,0.11
34.150.133.11,443,443,true,IAD,North America,Ashburn,231,0.08
35.198.154.188,443,443,true,FRA,Europe,Frankfurt,238,0.08
118.26.38.134,443,443,true,HKG,Asia Pacific,Hong Kong,30,0.07
35.247.124.181,443,443,true,SEA,North America,Seattle,173,0.07
138.3.254.39,443,443,true,FRA,Europe,Frankfurt,256,0.07
8.222.205.210,443,443,true,SIN,Asia Pacific,Singapore,224,0.07
34.65.5.18,443,443,true,FRA,Europe,Frankfurt,238,0.06
8.219.193.202,443,443,true,SIN,Asia Pacific,Singapore,226,0.06
20.157.97.104,443,443,true,AMS,Europe,Amsterdam,282,0.05
18.135.67.188,443,443,true,LHR,Europe,London,247,0.04
18.191.122.211,443,443,true,ORD,North America,Chicago,224,0.04
34.122.129.224,443,443,true,ORD,North America,Chicago,222,0.03
35.189.113.240,443,443,true,LHR,Europe,London,278,0.03
18.134.37.97,443,443,true,LHR,Europe,London,226,0.02
34.116.248.223,443,443,true,FRA,Europe,Frankfurt,253,0.00
129.146.169.119,443,443,true,LAX,North America,Los Angeles,210,0.00
47.236.116.182,443,443,true,SIN,Asia Pacific,Singapore,225,0.00
43.134.104.242,443,443,true,SIN,Asia Pacific,Singapore,212,0.00
3.75.248.109,443,443,true,FRA,Europe,Frankfurt,212,0.00
150.230.62.27,443,80,false,HKG,Asia Pacific,Hong Kong,203,0.00
35.230.79.26,443,443,true,SEA,North America,Seattle,191,0.00
15.236.98.115,443,443,true,CDG,Europe,Paris,227,0.00
