IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.125.62,2083,2083,true,LAX,North America,Los Angeles,393,1.90
8.218.143.10,2083,2083,true,HKG,Asia Pacific,Hong Kong,28,1.75
8.217.248.220,2083,2083,true,HKG,Asia Pacific,Hong Kong,25,1.64
8.222.140.185,2083,2083,true,SIN,Asia Pacific,Singapore,211,1.63
8.219.142.229,2083,2083,true,SIN,Asia Pacific,Singapore,206,1.63
8.219.147.58,2083,2083,true,SIN,Asia Pacific,Singapore,211,1.58
8.222.160.61,2083,2083,true,SIN,Asia Pacific,Singapore,205,1.47
8.219.58.64,2083,2083,true,SIN,Asia Pacific,Singapore,223,1.46
8.219.101.72,2083,2083,true,SIN,Asia Pacific,Singapore,224,1.40
47.236.166.184,2083,2083,true,SIN,Asia Pacific,Singapore,229,1.40
47.236.65.177,2083,2083,true,SIN,Asia Pacific,Singapore,210,1.37
47.236.145.180,2083,2083,true,SIN,Asia Pacific,Singapore,199,1.34
8.219.122.96,2083,2083,true,SIN,Asia Pacific,Singapore,218,1.34
8.222.137.166,2083,2083,true,SIN,Asia Pacific,Singapore,223,1.32
8.219.83.201,2083,2083,true,SIN,Asia Pacific,Singapore,224,1.31
47.236.96.141,2083,2083,true,SIN,Asia Pacific,Singapore,210,1.30
8.222.144.50,2083,2083,true,SIN,Asia Pacific,Singapore,218,1.28
8.222.249.190,2083,2083,true,SIN,Asia Pacific,Singapore,207,1.21
47.236.144.196,2083,2083,true,SIN,Asia Pacific,Singapore,221,1.18
47.236.176.144,2083,2083,true,SIN,Asia Pacific,Singapore,211,1.13
8.219.77.222,2083,2083,true,SIN,Asia Pacific,Singapore,204,1.12
47.236.144.48,2083,2083,true,SIN,Asia Pacific,Singapore,218,1.12
47.236.99.131,2083,2083,true,SIN,Asia Pacific,Singapore,210,1.12
8.222.129.245,2083,2083,true,SIN,Asia Pacific,Singapore,218,1.09
8.219.199.220,2083,2083,true,SIN,Asia Pacific,Singapore,216,1.08
8.219.79.74,2083,2083,true,SIN,Asia Pacific,Singapore,223,1.06
8.222.136.196,2083,2083,true,SIN,Asia Pacific,Singapore,225,1.06
8.219.179.34,2083,2083,true,SIN,Asia Pacific,Singapore,207,1.02
8.219.101.138,2083,2083,true,SIN,Asia Pacific,Singapore,203,1.00
47.236.29.235,2083,2083,true,SIN,Asia Pacific,Singapore,224,1.00
8.222.227.191,2083,2083,true,SIN,Asia Pacific,Singapore,229,0.99
47.236.172.41,2083,2083,true,SIN,Asia Pacific,Singapore,220,0.98
8.222.221.197,2083,2083,true,SIN,Asia Pacific,Singapore,216,0.95
8.219.6.157,2083,2083,true,SIN,Asia Pacific,Singapore,210,0.92
8.222.145.164,2083,2083,true,SIN,Asia Pacific,Singapore,215,0.92
47.236.87.246,2083,2083,true,SIN,Asia Pacific,Singapore,197,0.91
8.219.170.58,2083,2083,true,SIN,Asia Pacific,Singapore,208,0.91
8.222.154.227,2083,2083,true,SIN,Asia Pacific,Singapore,223,0.90
47.236.104.11,2083,2083,true,SIN,Asia Pacific,Singapore,221,0.90
8.222.237.131,2083,2083,true,SIN,Asia Pacific,Singapore,212,0.89
47.236.121.7,2083,2083,true,SIN,Asia Pacific,Singapore,210,0.87
