IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.75.113,2083,2083,true,SIN,Asia Pacific,Singapore,206,0.86
8.219.121.87,2083,2083,true,SIN,Asia Pacific,Singapore,195,0.85
8.222.128.131,2083,2083,true,SIN,Asia Pacific,Singapore,202,0.84
8.219.139.13,2083,2083,true,SIN,Asia Pacific,Singapore,208,0.79
8.219.97.179,2083,2083,true,SIN,Asia Pacific,Singapore,210,0.78
8.222.167.8,2083,2083,true,SIN,Asia Pacific,Singapore,222,0.78
47.236.93.176,2083,2083,true,SIN,Asia Pacific,Singapore,208,0.76
8.219.248.170,2083,2083,true,SIN,Asia Pacific,Singapore,217,0.75
47.236.145.85,2083,2083,true,SIN,Asia Pacific,Singapore,245,0.74
8.222.229.22,2083,2083,true,SIN,Asia Pacific,Singapore,221,0.72
47.236.150.13,2083,2083,true,SIN,Asia Pacific,Singapore,229,0.71
8.222.160.176,2083,2083,true,SIN,Asia Pacific,Singapore,227,0.67
8.219.78.1,2083,2083,true,SIN,Asia Pacific,Singapore,217,0.66
8.222.221.90,2083,2083,true,SIN,Asia Pacific,Singapore,217,0.66
8.222.229.102,2083,2083,true,SIN,Asia Pacific,Singapore,205,0.65
8.219.178.225,2083,2083,true,SIN,Asia Pacific,Singapore,208,0.65
8.219.99.169,2083,2083,true,SIN,Asia Pacific,Singapore,219,0.62
8.219.174.213,2083,2083,true,SIN,Asia Pacific,Singapore,207,0.61
8.219.183.31,2083,2083,true,SIN,Asia Pacific,Singapore,204,0.59
8.222.155.242,2083,2083,true,SIN,Asia Pacific,Singapore,208,0.56
8.222.180.86,2083,2083,true,SIN,Asia Pacific,Singapore,217,0.55
47.236.174.206,2083,2083,true,SIN,Asia Pacific,Singapore,220,0.54
8.219.209.14,2083,2083,true,SIN,Asia Pacific,Singapore,208,0.52
8.219.213.133,2083,2083,true,SIN,Asia Pacific,Singapore,227,0.51
8.219.222.98,2083,2083,true,SIN,Asia Pacific,Singapore,236,0.50
47.236.19.51,2083,2083,true,SIN,Asia Pacific,Singapore,194,0.49
8.222.175.78,2083,2083,true,SIN,Asia Pacific,Singapore,206,0.49
47.236.167.231,2083,2083,true,SIN,Asia Pacific,Singapore,211,0.46
8.222.240.47,2083,2083,true,SIN,Asia Pacific,Singapore,211,0.46
47.236.169.15,2083,2083,true,SIN,Asia Pacific,Singapore,230,0.45
8.222.188.56,2083,2083,true,SIN,Asia Pacific,Singapore,195,0.45
8.219.174.213,2083,2083,true,SIN,Asia Pacific,Singapore,204,0.44
47.236.114.23,2083,2083,true,SIN,Asia Pacific,Singapore,207,0.44
47.236.121.23,2083,2083,true,SIN,Asia Pacific,Singapore,221,0.44
8.222.159.252,2083,2083,true,SIN,Asia Pacific,Singapore,210,0.43
8.219.200.145,2083,2083,true,SIN,Asia Pacific,Singapore,211,0.43
8.219.213.84,2083,2083,true,SIN,Asia Pacific,Singapore,229,0.42
8.222.150.197,2083,2083,true,SIN,Asia Pacific,Singapore,237,0.42
47.236.88.181,2083,2083,true,SIN,Asia Pacific,Singapore,228,0.42
47.236.123.133,2083,2083,true,SIN,Asia Pacific,Singapore,205,0.40
52.151.81.2,2083,443,true,LHR,Europe,London,216,0.38
47.236.161.155,2083,2083,true,SIN,Asia Pacific,Singapore,223,0.34
168.138.209.244,2083,2083,true,NRT,Asia Pacific,Tokyo,136,0.34
47.236.148.174,2083,2083,true,SIN,Asia Pacific,Singapore,225,0.33
150.230.212.9,2083,2083,true,NRT,Asia Pacific,Tokyo,123,0.32
47.236.144.208,2083,2083,true,SIN,Asia Pacific,Singapore,224,0.29
8.219.134.117,2083,2083,true,SIN,Asia Pacific,Singapore,212,0.28
47.74.5.99,2083,2083,true,SIN,Asia Pacific,Singapore,204,0.26
8.219.179.34,2083,2083,true,SIN,Asia Pacific,Singapore,204,0.25
8.222.238.141,2083,2083,true,SIN,Asia Pacific,Singapore,207,0.21
8.219.100.168,2083,2083,true,SIN,Asia Pacific,Singapore,227,0.21
8.219.245.232,2083,2083,true,SIN,Asia Pacific,Singapore,192,0.17
47.236.15.73,2083,2083,true,SIN,Asia Pacific,Singapore,212,0.17
8.219.51.49,2083,2083,true,SIN,Asia Pacific,Singapore,212,0.15
47.74.26.196,2083,0,true,HKG,Asia Pacific,Hong Kong,225,0.15
168.138.198.202,2083,2083,true,NRT,Asia Pacific,Tokyo,131,0.14
8.222.168.155,2083,2083,true,SIN,Asia Pacific,Singapore,206,0.14
8.222.167.147,2083,2083,true,SIN,Asia Pacific,Singapore,203,0.09
8.219.111.175,2083,2083,true,SIN,Asia Pacific,Singapore,209,0.09
132.145.123.14,2083,2083,true,NRT,Asia Pacific,Tokyo,135,0.07
47.236.169.236,2083,2083,true,SIN,Asia Pacific,Singapore,225,0.07
155.248.176.28,2083,2083,true,NRT,Asia Pacific,Tokyo,133,0.05
8.222.146.222,2083,2083,true,SIN,Asia Pacific,Singapore,217,0.02
8.219.124.227,2083,2083,true,SIN,Asia Pacific,Singapore,204,0.01
8.222.212.116,2083,2083,true,SIN,Asia Pacific,Singapore,227,0.01
140.238.54.164,2083,2083,true,NRT,Asia Pacific,Tokyo,124,0.00
47.236.5.223,2083,2083,true,SIN,Asia Pacific,Singapore,219,0.00
138.3.215.11,2083,0,true,HKG,Asia Pacific,Hong Kong,197,0.00
47.236.104.98,2083,2083,true,SIN,Asia Pacific,Singapore,210,0.00
8.222.221.109,2083,2083,true,SIN,Asia Pacific,Singapore,224,0.00
47.245.3.137,2083,2083,true,NRT,Asia Pacific,Tokyo,137,0.00
47.245.15.39,2083,2083,true,NRT,Asia Pacific,Tokyo,143,0.00
47.245.12.38,2083,2083,true,SIN,Asia Pacific,Singapore,211,0.00
141.147.164.54,2083,2083,true,NRT,Asia Pacific,Tokyo,133,0.00
8.219.6.187,2083,2083,true,SIN,Asia Pacific,Singapore,218,0.00
